"","X","X.1","X.2","X.3","Postcode","Wijknr","Wijk","X.4","X.5"
"1","","Straatcode (BAG- ","Huisnr ","Huisnr","",NA,NA,"",""
"2","Openbare ruimte ","id) ","van ","tm ","Postcode Wijk ",NA,NA,"Woonplaats ","Type"
"3","20 septemberplein ","0268300000001734 ","","","",NA,NA,"Nijmegen ","Weg"
"4","82e Airborne Divisieviaduct ","0268300000001823 ","","","",NA,NA,"Lent ","Kunstwerk"
"5","Aalbersestraat ","0268300000000825 ","1 ","15 ","6532 WS","12 "," Goffert ","Nijmegen ","Weg"
"6","Aalscholverplaats ","0268300000000091 ","","","",NA,NA,"Nijmegen ","Weg"
"7","Abeelstraat ","0268300000000826 ","1 ","35 ","6523 JA","06 "," Hengstdal ","Nijmegen ","Weg"
"8","Abeelstraat ","0268300000000826 ","2 ","24 ","6523 JB","06 "," Hengstdal ","Nijmegen ","Weg"
"9","Acacialaan ","0268300000000394 ","1 ","37 ","6663 EH","70 "," Lent ","Lent ","Weg"
"10","Acacialaan ","0268300000000394 ","34 ","44 ","6663 EJ","70 "," Lent ","Lent ","Weg"
"11","Acaciastraat ","0268300000000827 ","1 ","13 ","6521 NE","06 "," Hengstdal ","Nijmegen ","Weg"
"12","Acaciastraat ","0268300000000827 ","2 ","40 ","6521 NG","06 "," Hengstdal ","Nijmegen ","Weg"
"13","Acaciastraat ","0268300000000827 ","15 ","29 ","6523 DK","06 "," Hengstdal ","Nijmegen ","Weg"
"14","Acaciastraat ","0268300000000827 ","31 ","73 ","6523 DL","06 "," Hengstdal ","Nijmegen ","Weg"
"15","Acaciastraat ","0268300000000827 ","42 ","78 ","6523 DM","06 "," Hengstdal ","Nijmegen ","Weg"
"16","Achter de Bank ","0268300000000828 ","2 ","44 ","6511 PB","01 "," Stadscentrum ","Nijmegen ","Weg"
"17","Achter de Bank ","0268300000000828 ","3 ","49 ","6511 PG","01 "," Stadscentrum ","Nijmegen ","Weg"
"18","Achter de Carmel ","0268300000000829 ","1 ","1 ","6511 CT","01 "," Stadscentrum ","Nijmegen ","Weg"
"19","Achter de Carmel ","0268300000000829 ","2 ","32 ","6511 CT","01 "," Stadscentrum ","Nijmegen ","Weg"
"20","Achter de Hoofdwacht ","0268300000000830 ","1 ","7 ","6511 VW","00 "," Benedenstad ","Nijmegen ","Weg"
